angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.51,,"[206, 51, 148, 220]",,0.0,,0.03,,0.06,,0.2,,0.19,,0.01,
0.49,,"[209, 61, 143, 214]",,0.0,,0.03,,0.01,,0.09,,0.38,,0.0,
0.49,,"[209, 61, 143, 214]",,0.0,,0.03,,0.01,,0.09,,0.38,,0.0,
0.64,,"[208, 58, 140, 216]",,0.0,,0.02,,0.01,,0.08,,0.23,,0.01,
0.63,,"[207, 62, 143, 213]",,0.0,,0.04,,0.01,,0.06,,0.26,,0.01,
0.64,,"[207, 62, 143, 213]",,0.0,,0.04,,0.01,,0.05,,0.25,,0.01,
0.63,,"[206, 60, 143, 216]",,0.0,,0.05,,0.01,,0.06,,0.23,,0.02,
0.41,,"[218, 73, 134, 194]",,0.0,,0.03,,0.01,,0.09,,0.46,,0.0,
0.41,,"[218, 73, 134, 194]",,0.0,,0.03,,0.01,,0.09,,0.46,,0.0,
0.3,,"[231, 85, 121, 172]",,0.0,,0.03,,0.02,,0.21,,0.44,,0.0,
0.51,,"[224, 73, 129, 191]",,0.0,,0.03,,0.01,,0.15,,0.3,,0.0,
0.51,,"[224, 73, 129, 191]",,0.0,,0.03,,0.01,,0.15,,0.3,,0.0,
0.48,,"[223, 70, 129, 197]",,0.0,,0.05,,0.02,,0.18,,0.27,,0.01,
0.24,,"[233, 85, 122, 172]",,0.0,,0.03,,0.03,,0.27,,0.44,,0.0,
0.24,,"[233, 85, 122, 172]",,0.0,,0.03,,0.03,,0.27,,0.44,,0.0,
0.34,,"[235, 85, 123, 180]",,0.0,,0.05,,0.04,,0.13,,0.43,,0.0,
0.12,,"[243, 97, 118, 162]",,0.0,,0.03,,0.02,,0.13,,0.69,,0.0,
0.12,,"[243, 97, 118, 162]",,0.0,,0.03,,0.02,,0.13,,0.69,,0.0,
0.13,,"[242, 100, 119, 158]",,0.0,,0.04,,0.08,,0.12,,0.63,,0.0,
0.37,,"[250, 93, 115, 164]",,0.0,,0.03,,0.06,,0.14,,0.4,,0.0,
0.37,,"[250, 93, 115, 164]",,0.0,,0.03,,0.06,,0.14,,0.4,,0.0,
0.15,,"[251, 93, 115, 161]",,0.0,,0.03,,0.19,,0.28,,0.35,,0.01,
0.23,,"[257, 93, 109, 162]",,0.0,,0.04,,0.19,,0.2,,0.33,,0.01,
0.23,,"[257, 93, 109, 162]",,0.0,,0.04,,0.19,,0.19,,0.34,,0.01,
0.15,,"[260, 84, 108, 166]",,0.0,,0.03,,0.38,,0.19,,0.22,,0.03,
0.15,,"[260, 84, 108, 166]",,0.0,,0.03,,0.38,,0.19,,0.22,,0.03,
0.15,,"[266, 93, 108, 154]",,0.0,,0.03,,0.33,,0.27,,0.19,,0.03,
0.15,0.17,"[271, 93, 99, 149]","[219, 55, 51, 59]",0.0,0.01,0.02,0.32,0.44,0.05,0.2,0.04,0.16,0.4,0.02,0.02
0.15,0.17,"[271, 93, 99, 149]","[219, 55, 51, 59]",0.0,0.01,0.02,0.32,0.44,0.05,0.2,0.04,0.16,0.4,0.02,0.02
0.17,,"[267, 83, 103, 160]",,0.0,,0.04,,0.36,,0.22,,0.14,,0.06,
0.1,,"[263, 84, 100, 155]",,0.0,,0.02,,0.57,,0.15,,0.06,,0.1,
0.11,,"[263, 84, 100, 155]",,0.0,,0.02,,0.57,,0.15,,0.06,,0.1,
0.07,,"[267, 87, 96, 148]",,0.0,,0.02,,0.44,,0.32,,0.09,,0.06,
0.17,,"[261, 86, 98, 152]",,0.0,,0.03,,0.38,,0.25,,0.09,,0.07,
